review_id,review_text,sentiment,rating,product_category
1117,Extremely unhappy with this purchase. Awful.,negative,2,Sports
1369,"It is alright, not what I expected though. Fair enough.",neutral,3,Clothing
423,"Best purchase I have ever made, works perfectly. Great!",positive,5,Clothing
414,"Incredible performance, beats all competitors easily. Highly recommended!",positive,5,Beauty
452,"Perfect in every way, could not ask for more. Amazing!",positive,5,Automotive
862,Terrible smell and poor packaging overall. Zero stars.,negative,1,Electronics
1064,The product is dangerous and poorly made. Awful.,negative,1,Clothing
742,"Terrible product, broke after just one day of use. Never again.",negative,1,Toys
1273,"It is alright, not what I expected though. Average.",neutral,3,Sports
260,"Superb quality and fast delivery, very satisfied. Amazing!",positive,5,Sports
889,The product is dangerous and poorly made. Garbage.,negative,2,Electronics
1433,"Neither great nor terrible, just okay overall. Fair enough.",neutral,3,Automotive
713,Stopped working within a week of purchase. Never again.,negative,1,Electronics
1383,Works fine for occasional use I suppose. Average.,neutral,3,Books
71,"Superb quality and fast delivery, very satisfied. Amazing!",positive,5,Clothing
1269,Acceptable for the price point given. It is alright.,neutral,3,Beauty
1492,"Does what it says, no more no less. Average.",neutral,3,Books
608,"Awful customer service, no help whatsoever. Awful.",negative,1,Toys
434,The quality exceeded my expectations completely. 10/10!,positive,5,Beauty
52,"Highly satisfied customer, great product overall. Amazing!",positive,4,Automotive
1200,"Regret buying this, complete waste of money. Garbage.",negative,1,Electronics
1129,Stopped working within a week of purchase. Garbage.,negative,1,Electronics
1191,"Worst purchase ever, totally useless product. Awful.",negative,2,Sports
1250,"Delivery was fine, product is functional enough. Your call.",neutral,3,Beauty
1420,"Neither great nor terrible, just okay overall. It is alright.",neutral,3,Clothing
433,"Perfect in every way, could not ask for more. Highly recommended!",positive,4,Clothing
1453,Mediocre quality but works for now. Average.,neutral,3,Sports
1471,"Average product, does the job I suppose. Fair enough.",neutral,3,Electronics
1235,"Neither great nor terrible, just okay overall. It is alright.",neutral,3,Books
1282,"Meets basic requirements, nothing more to say. It is alright.",neutral,3,Sports
1086,"Absolute nightmare, returning this immediately. Awful.",negative,2,Electronics
611,"Terrible product, broke after just one day of use. Never again.",negative,1,Automotive
1285,"Standard quality product, as expected for price. Maybe try it.",neutral,3,Automotive
1042,Overpriced junk that does not function at all. Garbage.,negative,1,Sports
221,"Perfect in every way, could not ask for more. Highly recommended!",positive,5,Clothing
340,"Works like a charm, absolutely fantastic. Loved it.",positive,5,Books
424,"Simply outstanding, exceeded all my hopes. Amazing!",positive,5,Books
429,Great craftsmanship and very durable product. Highly recommended!,positive,5,Sports
1106,"Horrible experience, would never buy again. Very bad.",negative,2,Clothing
77,"Works like a charm, absolutely fantastic. Highly recommended!",positive,5,Electronics
1392,Mediocre quality but works for now. It is alright.,neutral,3,Home & Kitchen
440,"Simply outstanding, exceeded all my hopes. Loved it.",positive,5,Sports
1337,Works fine for occasional use I suppose. It is alright.,neutral,3,Electronics
865,"Horrible experience, would never buy again. Never again.",negative,1,Home & Kitchen
1081,"Worst purchase ever, totally useless product. Awful.",negative,1,Clothing
355,"This changed my life, absolutely brilliant product. Highly recommended!",positive,5,Electronics
366,"Simply outstanding, exceeded all my hopes. Highly recommended!",positive,5,Electronics
310,"Works like a charm, absolutely fantastic. 10/10!",positive,5,Electronics
737,"Terrible product, broke after just one day of use. Never again.",negative,2,Home & Kitchen
999,"Absolute nightmare, returning this immediately. Awful.",negative,1,Clothing
622,"Worst purchase ever, totally useless product. Very bad.",negative,1,Toys
544,"Best purchase I have ever made, works perfectly. Loved it.",positive,5,Beauty
1141,Stopped working within a week of purchase. Garbage.,negative,2,Home & Kitchen
1297,Mediocre quality but works for now. Average.,neutral,3,Clothing
555,"Delighted with this purchase, thank you so much. Highly recommended!",positive,5,Toys
680,"Low quality materials, very bad build. Garbage.",negative,1,Clothing
50,"Excellent value for money, very happy with my purchase. Amazing!",positive,5,Beauty
491,"Superb quality and fast delivery, very satisfied. Highly recommended!",positive,5,Automotive
317,Outstanding customer service and great product quality. Loved it.,positive,4,Electronics
905,Stopped working within a week of purchase. Very bad.,negative,1,Toys
637,Stopped working within a week of purchase. Very bad.,negative,1,Home & Kitchen
561,Really impressed with how well this works. Highly recommended!,positive,5,Automotive
487,"Highly satisfied customer, great product overall. Highly recommended!",positive,4,Automotive
68,Wonderful experience from start to finish. Great!,positive,4,Home & Kitchen
812,Extremely unhappy with this purchase. Zero stars.,negative,1,Sports
494,"This changed my life, absolutely brilliant product. Amazing!",positive,5,Toys
311,"Superb quality and fast delivery, very satisfied. 10/10!",positive,5,Toys
1097,The product is dangerous and poorly made. Zero stars.,negative,1,Clothing
1248,"Average product, does the job I suppose. Your call.",neutral,3,Electronics
185,"Excellent value for money, very happy with my purchase. Great!",positive,5,Beauty
307,The best thing I have bought this year. Loved it.,positive,5,Books
853,Terrible smell and poor packaging overall. Zero stars.,negative,1,Beauty
793,"Very poor quality, fell apart immediately. Zero stars.",negative,1,Automotive
290,"Fantastic experience, highly recommend to everyone. Amazing!",positive,5,Beauty
707,"Broke immediately, absolutely worthless. Never again.",negative,1,Automotive
1330,Mediocre quality but works for now. It is alright.,neutral,3,Books
655,Terrible smell and poor packaging overall. Awful.,negative,2,Books
523,"Perfect in every way, could not ask for more. 10/10!",positive,5,Clothing
462,The quality exceeded my expectations completely. Amazing!,positive,5,Automotive
931,"Horrible experience, would never buy again. Zero stars.",negative,2,Clothing
1035,"Low quality materials, very bad build. Never again.",negative,1,Sports
30,Great craftsmanship and very durable product. Great!,positive,5,Books
241,"Highly satisfied customer, great product overall. Loved it.",positive,5,Home & Kitchen
799,"Complete garbage, avoid at all costs. Never again.",negative,2,Beauty
818,The product is dangerous and poorly made. Zero stars.,negative,1,Electronics
66,"Fantastic experience, highly recommend to everyone. Highly recommended!",positive,5,Books
602,Overpriced junk that does not function at all. Garbage.,negative,1,Sports
925,"Regret buying this, complete waste of money. Never again.",negative,1,Home & Kitchen
755,"Absolute nightmare, returning this immediately. Very bad.",negative,1,Electronics
927,"Very poor quality, fell apart immediately. Awful.",negative,2,Toys
1102,Overpriced junk that does not function at all. Garbage.,negative,1,Toys
248,"Highly satisfied customer, great product overall. 10/10!",positive,5,Automotive
278,"Fantastic experience, highly recommend to everyone. 10/10!",positive,5,Home & Kitchen
1403,"It works as described, nothing special about it. Your call.",neutral,3,Clothing
1067,"Defective product, very frustrating experience. Never again.",negative,1,Toys
480,"Incredible performance, beats all competitors easily. 10/10!",positive,5,Books
427,The quality exceeded my expectations completely. Amazing!,positive,5,Clothing
124,Really impressed with how well this works. Amazing!,positive,5,Automotive
1170,"Broke immediately, absolutely worthless. Garbage.",negative,1,Home & Kitchen
395,The best thing I have bought this year. Great!,positive,5,Beauty
986,"Complete garbage, avoid at all costs. Garbage.",negative,1,Sports
